measured_paint_id,measured_name,brand,best_db_paint_id,best_db_name,score,resolved_db_paint_id
vallejo-model-flat-green,Flat Green,Vallejo,vallejo-model-color-flat-green-cam,Flat Green Cam.,0.833,
vallejo-model-cam-dark-green,Cam. Dark Green,Vallejo,vallejo-game-color-dark-green,Dark Green,0.833,
vallejo-model-green-grey,Green Grey,Vallejo,vallejo-model-color-green-grey-ger,Green Grey Ger.,0.833,
vallejo-model-stone-grey,Stone Grey,Vallejo,vallejo-game-color-stonewall-grey,Stonewall Grey,0.833,
vallejo-model-ochre-brown,Ochre Brown,Vallejo,vallejo-game-color-charred-brown,Charred Brown,0.833,
vallejo-model-sunny-skin-tone,Sunny Skin Tone,Vallejo,vallejo-model-color-sunny-skin-tone-beige,Sunny Skin Tone Beige,0.833,
vallejo-model-germ-beige-wwii,Germ. Beige WWII,Vallejo,vallejo-model-color-germ-beige-wwii-khaki,Germ. Beige WWII Khaki,0.833,
vallejo-model-dark-rose,Dark Rose,Vallejo,vallejo-model-color-dark-red,Dark Red,0.824,
vallejo-game-bile-green,Bile Green,Vallejo,vallejo-true-metallic-beetle-green,Beetle Green,0.818,
vallejo-model-pale-sand,Pale Sand,Vallejo,vallejo-model-color-pale-sand-ice,Pale Sand Ice,0.818,
vallejo-model-grey-brown,Grey Brown,Vallejo,vallejo-game-color-grunge-brown,Grunge Brown,0.818,
vallejo-model-pale-brown,Pale Brown,Vallejo,vallejo-game-color-plague-brown,Plague Brown,0.818,
vallejo-model-dark-sea-grey,Dark Sea Grey,Vallejo,vallejo-model-wash-dark-grey,Dark Grey,0.818,
vallejo-model-pastel-blue,Pastel Blue,Vallejo,vallejo-model-color-pastel-blue-flat,Pastel Blue Flat,0.815,
vallejo-model-medium-grey,Medium Grey,Vallejo,vallejo-model-color-medium-grey-germ,Medium Grey Germ.,0.815,
vallejo-model-medium-grey-blue,Medium Grey Blue,Vallejo,vallejo-model-color-medium-grey-germ,Medium Grey Germ.,0.812,
vallejo-model-basic-skin-tone,Basic Skin Tone,Vallejo,vallejo-model-color-basic-skin-tone-salmon,Basic Skin Tone Salmon,0.811,
vallejo-model-black-red,Black Red,Vallejo,vallejo-game-color-black-green,Black Green,0.800,
vallejo-model-black-violet,Black Violet,Vallejo,vallejo-model-color-black-violet-azure,Black Violet Azure,0.800,
vallejo-model-pastel-green,Pastel Green,Vallejo,vallejo-model-color-pastel-green-green,Pastel Green Green,0.800,
vallejo-model-fern-green,Fern Green,Vallejo,vallejo-model-color-fern-green-flat,Fern Green Flat,0.800,
vallejo-model-german-uniform,German Uniform,Vallejo,vallejo-model-color-german-uniform-bronze,German Uniform Bronze,0.800,
vallejo-model-military-green,Military Green,Vallejo,vallejo-model-color-military-green-pastel,Military Green Pastel,0.800,
vallejo-model-dark-flesh,Dark Flesh,Vallejo,vallejo-game-color-dead-flesh,Dead Flesh,0.800,
vallejo-model-flat-flesh,Flat Flesh,Vallejo,vallejo-model-color-flat-flesh-dark,Flat Flesh Dark,0.800,
vallejo-model-cork-brown,Cork Brown,Vallejo,vallejo-model-wash-dark-brown,Dark Brown,0.800,
vallejo-model-cam-black-brown,Cam. Black Brown,Vallejo,vallejo-model-color-cam-black-green,Cam. Black Green,0.800,
vallejo-model-deep-sky-blue,Deep Sky Blue,Vallejo,vallejo-model-color-deep-sky-blue-andrea,Deep Sky Blue Andrea,0.788,
vallejo-model-gunship-green,Gunship Green,Vallejo,vallejo-model-color-gunship-green-german,Gunship Green German,0.788,
vallejo-model-uniform-green,Uniform Green,Vallejo,vallejo-model-color-uniform-green-medium,Uniform Green Medium,0.788,
vallejo-model-medium-blue,Medium Blue,Vallejo,vallejo-model-color-medium-blue-light,Medium Blue Light,0.786,
vallejo-model-light-flesh,Light Flesh,Vallejo,vallejo-model-color-light-flesh-basic,Light Flesh Basic,0.786,
vallejo-model-blue-grey-pale,Blue Grey Pale,Vallejo,vallejo-model-wash-blue-grey,Blue Grey,0.783,
vallejo-game-goblin-green,Goblin Green,Vallejo,vallejo-model-wash-olive-green,Olive Green,0.783,
vallejo-model-green-brown,Green Brown,Vallejo,vallejo-game-color-grunge-brown,Grunge Brown,0.783,
vallejo-model-orange-ochre,Orange Ochre,Vallejo,vallejo-game-color-orange-fire,Orange Fire,0.783,
vallejo-model-beige-red,Beige Red,Vallejo,vallejo-model-color-beige-red-cork,Beige Red Cork,0.783,
vallejo-model-flat-brown,Flat Brown,Vallejo,vallejo-game-color-leather-brown,Leather Brown,0.783,
vallejo-model-dark-blue-grey,Dark Blue Grey,Vallejo,vallejo-model-wash-dark-grey,Dark Grey,0.783,
vallejo-model-scarlet,Scarlet,Vallejo,vallejo-game-color-scarlet-red,Scarlet Red,0.778,
vallejo-model-bronze-green,Bronze Green,Vallejo,vallejo-model-color-bronze-green-bright,Bronze Green Bright,0.774,
vallejo-game-camouflage-green,Camouflage Green,Vallejo,vallejo-model-color-cam-olive-green,Cam. Olive Green,0.774,
vallejo-model-deep-green,Deep Green,Vallejo,vallejo-model-color-deep-green-black,Deep Green Black,0.769,
vallejo-model-luftwaffe-green,Luftwaffe Green,Vallejo,vallejo-model-color-luftwaffe-green-military,Luftwaffe Green Military,0.769,
vallejo-model-light-green-grey,Light Green Grey,Vallejo,vallejo-model-wash-light-grey,Light Grey,0.769,
vallejo-model-light-emerald,Light Emerald,Vallejo,vallejo-model-color-light-emerald-emerald,Light Emerald Emerald,0.765,
vallejo-model-flat-red,Flat Red,Vallejo,vallejo-model-color-flat-red-dark,Flat Red Dark,0.762,
vallejo-model-sky-blue,Sky Blue,Vallejo,vallejo-model-color-sky-blue-deep,Sky Blue Deep,0.762,
vallejo-game-jade-green,Jade Green,Vallejo,vallejo-game-color-angel-green,Angel Green,0.762,
vallejo-model-cream-white,Cream White,Vallejo,vallejo-game-color-dead-white,Dead White,0.762,
vallejo-model-desert-tan,Desert Tan,Vallejo,vallejo-model-wash-desert-dust,Desert Dust,0.762,
vallejo-model-grey-green,Grey Green,Vallejo,vallejo-game-color-angel-green,Angel Green,0.762,
vallejo-model-silver-grey,Silver Grey,Vallejo,vallejo-model-color-olive-grey,Olive Grey,0.762,
vallejo-model-gunmetal,Gunmetal,Vallejo,vallejo-game-color-dark-gunmetal,Dark Gunmetal,0.762,
vallejo-model-old-gold,Old Gold,Vallejo,vallejo-game-color-polished-gold,Polished Gold,0.762,
vallejo-model-blue-violet,Blue Violet,Vallejo,vallejo-model-color-oxford-blue-violet,Oxford Blue Violet,0.759,
vallejo-model-oxford-blue,Oxford Blue,Vallejo,vallejo-model-color-oxford-blue-violet,Oxford Blue Violet,0.759,
vallejo-model-andrea-blue,Andrea Blue,Vallejo,vallejo-model-color-andrea-blue-medium,Andrea Blue Medium,0.759,
vallejo-model-salmon-rose,Salmon Rose,Vallejo,vallejo-model-color-salmon-rose-german,Salmon Rose German,0.759,
vallejo-model-amaranth-red,Amaranth Red,Vallejo,vallejo-model-color-amaranth-red-scarlet,Amaranth Red Scarlet,0.750,
vallejo-model-flat-blue,Flat Blue,Vallejo,vallejo-model-color-flat-blue-royal,Flat Blue Royal,0.750,
vallejo-game-desert-yellow,Desert Yellow,Vallejo,vallejo-model-color-dark-yellow,Dark Yellow,0.750,
vallejo-model-japan-unif-wwii,Japan. Unif. WWII,Vallejo,vallejo-model-color-russian-unif-wwii,Russian Unif. WWII,0.750,
vallejo-model-yellow-ochre,Yellow Ochre,Vallejo,vallejo-model-color-yellow-green,Yellow Green,0.750,
vallejo-model-gold-brown,Gold Brown,Vallejo,vallejo-model-color-old-rose-brown,Old Rose Brown,0.750,
vallejo-model-desert-yellow,Desert Yellow,Vallejo,vallejo-model-color-dark-yellow,Dark Yellow,0.750,
vallejo-model-canvas,Canvas,Vallejo,vallejo-model-color-canvas-cam,Canvas Cam.,0.750,
vallejo-game-bronze-brown,Bronze Brown,Vallejo,vallejo-game-color-grunge-brown,Grunge Brown,0.750,
vallejo-model-desert-brown,Desert Brown,Vallejo,vallejo-game-color-beasty-brown,Beasty Brown,0.750,
vallejo-game-cayman-green,Cayman Green,Vallejo,vallejo-model-color-cam-black-green,Cam. Black Green,0.741,
vallejo-model-faded-red,Faded Red,Vallejo,vallejo-true-metallic-forged-red,Forged Red,0.737,
vallejo-model-grey-blue,Grey Blue,Vallejo,vallejo-model-color-royal-blue,Royal Blue,0.737,
vallejo-model-pale-blue,Pale Blue,Vallejo,vallejo-game-color-pale-flesh,Pale Flesh,0.737,
vallejo-model-burnt-red,Burnt Red,Vallejo,vallejo-model-color-sunset-red,Sunset Red,0.737,
vallejo-model-cold-white,Cold White,Vallejo,vallejo-game-color-off-white,Off-White,0.737,
vallejo-model-bright-green,Bright Green,Vallejo,vallejo-model-wash-light-grey,Light Grey,0.727,
vallejo-model-green-yellow,Green Yellow,Vallejo,vallejo-game-color-sun-yellow,Sun Yellow,0.727,
vallejo-model-beige-brown,Beige Brown,Vallejo,vallejo-model-color-light-brown,Light Brown,0.727,
vallejo-model-old-rose,Old Rose,Vallejo,vallejo-model-color-old-rose-brown,Old Rose Brown,0.727,
vallejo-model-olive-brown,Olive Brown,Vallejo,vallejo-model-color-light-brown,Light Brown,0.727,
vallejo-model-bronze,Bronze,Vallejo,vallejo-model-wash-brown,Brown,0.727,
vallejo-model-german-tank-crew,German Tank Crew,Vallejo,vallejo-model-color-tank-crew,Tank Crew,0.720,
vallejo-metal-gunmetal-grey,Gunmetal Grey,Vallejo,vallejo-game-color-neutral-grey,Neutral Grey,0.720,
vallejo-model-green-sky,Green Sky,Vallejo,vallejo-game-color-green,Green,0.714,
vallejo-model-tan-earth,Tan Earth,Vallejo,vallejo-game-color-earth,Earth,0.714,
vallejo-model-chocolate-brown,Chocolate Brown,Vallejo,vallejo-game-color-leather-brown,Leather Brown,0.714,
vallejo-model-medium-sea-grey,Medium Sea Grey,Vallejo,vallejo-model-color-medium-grey-germ,Medium Grey Germ.,0.710,
vallejo-model-dark-blue,Dark Blue,Vallejo,vallejo-model-color-dark-red,Dark Red,0.706,
vallejo-model-medium-olive,Medium Olive,Vallejo,vallejo-model-color-medium-olive-luftwaffe,Medium Olive Luftwaffe,0.706,
vallejo-model-dark-sand,Dark Sand,Vallejo,vallejo-model-color-dark-red,Dark Red,0.706,
vallejo-model-sky-grey,Sky Grey,Vallejo,vallejo-model-wash-dark-grey,Dark Grey,0.706,
vallejo-game-magic-blue,Magic Blue,Vallejo,vallejo-game-color-elfic-blue,Elfic Blue,0.700,
vallejo-model-field-blue,Field Blue,Vallejo,vallejo-game-color-elfic-blue,Elfic Blue,0.700,
vallejo-model-emerald,Emerald,Vallejo,vallejo-model-color-emerald-green,Emerald Green,0.700,
vallejo-model-brown-sand,Brown Sand,Vallejo,vallejo-model-color-brown-rose,Brown Rose,0.700,
vallejo-model-white-grey,White Grey,Vallejo,vallejo-game-color-steel-grey,Steel Grey,0.700,
vallejo-model-basalt-grey,Basalt Grey,Vallejo,vallejo-model-wash-blue-grey,Blue Grey,0.700,
vallejo-model-german-grey,German Grey,Vallejo,vallejo-game-color-warm-grey,Warm Grey,0.700,
vallejo-model-pacific-green,Pacific Green,Vallejo,vallejo-game-color-sick-green,Sick Green,0.696,
vallejo-model-flat-earth,Flat Earth,Vallejo,vallejo-model-color-flat-red-dark,Flat Red Dark,0.696,
vallejo-model-mustard-brown,Mustard Brown,Vallejo,vallejo-model-wash-dark-brown,Dark Brown,0.696,
vallejo-model-cavalry-brown,Cavalry Brown,Vallejo,vallejo-model-wash-dark-brown,Dark Brown,0.696,
vallejo-model-lavender-grey,Lavender Grey,Vallejo,vallejo-model-color-olive-grey,Olive Grey,0.696,
vallejo-model-vermilion,Vermilion,Vallejo,vallejo-model-color-vermilion-carmine,Vermilion Carmine,0.692,
vallejo-model-military-yellow,Military Yellow,Vallejo,vallejo-model-color-dark-yellow,Dark Yellow,0.692,
vallejo-model-mahogany-brown,Mahogany Brown,Vallejo,vallejo-game-color-gorgon-brown,Gorgon Brown,0.692,
vallejo-model-gunmetal-blue,Gunmetal Blue,Vallejo,vallejo-game-color-imperial-blue,Imperial Blue,0.692,
vallejo-metal-pale-burnt-metal,Pale Burnt Metal,Vallejo,vallejo-true-metallic-aged-metal,Aged Metal,0.688,
vallejo-model-dark-sea-blue,Dark Sea Blue,Vallejo,vallejo-model-color-dark-sea-blue-continental,Dark Sea Blue Continental,0.684,
vallejo-game-bloody-red,Bloody Red,Vallejo,vallejo-game-color-gory-red,Gory Red,0.667,
vallejo-game-ghost-green,Ghost Green,Vallejo,vallejo-game-color-foul-green,Foul Green,0.667,
vallejo-model-yellow-olive,Yellow Olive,Vallejo,vallejo-game-color-yellow,Yellow,0.667,
vallejo-model-saddle-brown,Saddle Brown,Vallejo,vallejo-game-color-plague-brown,Plague Brown,0.667,
vallejo-metal-steel,Steel,Vallejo,vallejo-game-color-steel-grey,Steel Grey,0.667,
vallejo-metal-dark-aluminium,Dark Aluminium,Vallejo,vallejo-model-color-dark-flesh-med,Dark Flesh Med.,0.645,
vallejo-model-clear-orange,Clear Orange,Vallejo,vallejo-game-color-sunset-orange,Sunset Orange,0.640,
vallejo-model-green-ochre,Green Ochre,Vallejo,vallejo-model-color-green-grey-ger,Green Grey Ger.,0.640,
vallejo-model-medium-brown,Medium Brown,Vallejo,vallejo-game-color-charred-brown,Charred Brown,0.640,
vallejo-model-gloss-black,Gloss Black,Vallejo,vallejo-true-metallic-obsidian-black,Obsidian Black,0.640,
vallejo-model-red-leather,Red Leather,Vallejo,vallejo-model-wash-oiled-earth,Oiled Earth,0.636,
vallejo-model-luftwaffe-uniform,Luftwaffe Uniform,Vallejo,vallejo-model-color-luftwaffe-green-military,Luftwaffe Green Military,0.634,
vallejo-model-london-grey,London Grey,Vallejo,vallejo-model-wash-off-grey,Off-Grey,0.632,
vallejo-model-pale-grey-blue,Pale Grey Blue,Vallejo,vallejo-model-color-light-blue-green-blue,Light Blue Green Blue,0.629,
vallejo-model-ivory,Ivory,Vallejo,vallejo-model-color-ivory-light,Ivory Light,0.625,
vallejo-model-hull-red,Hull Red,Vallejo,vallejo-game-color-evil-red,Evil Red,0.625,
vallejo-model-natural-steel,Natural Steel,Vallejo,vallejo-game-color-nocturnal-red,Nocturnal Red,0.615,
vallejo-model-us-olive-drab,US Olive Drab,Vallejo,vallejo-model-color-olive-grey,Olive Grey,0.609,
vallejo-metal-burnt-iron,Burnt Iron,Vallejo,vallejo-game-color-bright-bronze,Bright Bronze,0.609,
vallejo-metal-duraluminium,Duraluminium,Vallejo,vallejo-model-color-andrea-blue-medium,Andrea Blue Medium,0.600,
vallejo-metal-copper,Copper,Vallejo,vallejo-true-metallic-ancient-copper,Ancient Copper,0.600,
